6;7;6;
C;C;C;C;C;C;C;C;C;C;1;1;1;1;C;C;1;1;0;0;0;C;C;1;0;0;1;1;C;C;1;0;0;1;C;C;C;1;0;0;1;C;
C;C;C;C;C;M;C;M;C;M;C;C;C;C;C;C;C;C;C;C;C;M;C;C;C;C;C;C;C;M;C;C;C;C;M;C;C;C;C;C;C;C;
